Date,Timestamp,Open,High,Low,Close,Volume
20190404,11:00:00,1.33544,1.33583,1.33455,1.33509,6757.14002132416
20190404,12:00:00,1.33508,1.33725,1.33471,1.33603,9638.61001288891
20190404,13:00:00,1.33603,1.33681,1.33564,1.33587,9450.06002175808
20190404,14:00:00,1.33589,1.33699,1.33482,1.33513,11649.4900269508
20190404,15:00:00,1.33513,1.33628,1.33441,1.3357,9892.59002220631
20190404,16:00:00,1.33573,1.33633,1.33507,1.33521,7157.44000291824
20190404,17:00:00,1.33521,1.33586,1.33468,1.33495,4643.08000147343
20190404,18:00:00,1.33492,1.33579,1.33478,1.33548,4585.7500038594
20190404,19:00:00,1.33548,1.33617,1.33533,1.33547,3892.89000427723
20190404,20:00:00,1.33547,1.33611,1.33502,1.33577,2084.87999737263
20190404,21:00:00,1.33576,1.33649,1.33558,1.336,3242.29001067579
20190404,22:00:00,1.33601,1.33642,1.33588,1.3364,1497.45999998599
20190404,23:00:00,1.33641,1.33666,1.33624,1.33649,1494.64999961853
20190405,00:00:00,1.33651,1.33671,1.3357,1.33649,3601.52001607418
20190405,01:00:00,1.3365,1.3365,1.33594,1.33615,1769.45000958443
20190405,02:00:00,1.33614,1.33632,1.33567,1.33577,1891.89001107216
20190405,03:00:00,1.33578,1.33611,1.33576,1.33604,1357.15000450611
20190405,04:00:00,1.33604,1.33608,1.33567,1.33583,1408.37000596523
20190405,05:00:00,1.33583,1.33595,1.33566,1.33574,2294.17000484467
20190405,06:00:00,1.33573,1.33576,1.3349,1.33513,3905.11000645161
20190405,07:00:00,1.33513,1.33552,1.33484,1.33514,4707.74999478459
20190405,08:00:00,1.33511,1.33632,1.33496,1.33566,3963.2400135994
20190405,09:00:00,1.33566,1.33641,1.33554,1.3361,3650.61000609398
20190405,10:00:00,1.33609,1.3372,1.33599,1.33717,4378.4400062561
20190405,11:00:00,1.33717,1.33853,1.33707,1.33795,4990.82000768185
20190405,12:00:00,1.33795,1.34026,1.33573,1.33752,12168.3400091827
20190405,13:00:00,1.33752,1.33987,1.33715,1.33896,12837.4900205135
20190405,14:00:00,1.33896,1.3392,1.33664,1.33741,12665.4900145531
20190405,15:00:00,1.33739,1.33905,1.33724,1.33882,9843.64001178741
20190405,16:00:00,1.3388,1.33914,1.33831,1.3387,4826.69001483917
20190405,17:00:00,1.33871,1.33907,1.33824,1.33824,3375.70000696182
20190405,18:00:00,1.33825,1.33973,1.33822,1.33894,4279.70000457764
20190405,19:00:00,1.33894,1.33923,1.33827,1.33838,2836.46000218391
20190405,20:00:00,1.33838,1.33905,1.33767,1.33799,4242.21999633312
20190407,21:00:00,1.33838,1.33871,1.33807,1.33846,1197.01001238823
20190407,22:00:00,1.33846,1.33867,1.33765,1.33768,1836.07000045478
20190407,23:00:00,1.33768,1.33769,1.33702,1.33729,2638.08999037743
20190408,00:00:00,1.33728,1.33843,1.33728,1.33808,4057.78000164032
20190408,01:00:00,1.33808,1.33839,1.33694,1.33709,4426.51001036167
20190408,02:00:00,1.33709,1.33721,1.33685,1.33701,3211.34001004696
20190408,03:00:00,1.33703,1.33785,1.33681,1.33773,4078.04000401497
20190408,04:00:00,1.33773,1.33792,1.33752,1.33763,2806.72000801563
20190408,05:00:00,1.33761,1.33816,1.33753,1.33774,2551.70001065731
20190408,06:00:00,1.33774,1.33855,1.33774,1.33809,3996.3699940443
20190408,07:00:00,1.33809,1.33816,1.33749,1.33749,4700.89999985695
20190408,08:00:00,1.33749,1.33832,1.33711,1.338,4655.16001474857
20190408,09:00:00,1.338,1.33803,1.3373,1.33766,4326.48001778126
20190408,10:00:00,1.3377,1.33801,1.33751,1.33763,2735.19000709057
20190408,11:00:00,1.33763,1.33768,1.33668,1.33709,4438.9600083828
20190408,12:00:00,1.33709,1.33776,1.33601,1.33601,7885.60999751091
20190408,13:00:00,1.33601,1.33603,1.33393,1.33406,11467.6300067902
20190408,14:00:00,1.33409,1.33442,1.33181,1.33244,12382.7400196791
